Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Abandoned Outpost | [] | This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add one mana of any color.
Abraded Bluffs | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {R} or {W}.
Abstergo Entertainment | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {3}, {T}, Exile Abstergo Entertainment: Return up to one target historic card from your graveyard to your hand, then exile all graveyards. (Artifacts, legendaries, and Sagas are historic.)
Academy Ruins | [] | {T}: Add {C}. {1}{U}, {T}: Put target artifact card from your graveyard on top of your library.
Access Tunnel | [] | {T}: Add {C}. {3}, {T}: Target creature with power 3 or less can't be blocked this turn.
Accursed Duneyard | [] | {T}: Add {C}. {2}, {T}: Regenerate target Shade, Skeleton, Specter, Spirit, Vampire, Wraith, or Zombie. (The next time it would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Adarkar Wastes | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land deals 1 damage to you.
Adventurers' Guildhouse | [] | Green legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Adventurer's Inn | ['Town'] | When this land enters, you gain 2 life. {T}: Add {C}.
Aether Hub | [] | When this land enters, you get {E} (an energy counter). {T}: Add {C}. {T}, Pay {E}: Add one mana of any color.
Akoum Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {R}.
Alchemist's Refuge | [] | {T}: Add {C}. {G}{U}, {T}: You may cast spells this turn as though they had flash.
Ally Encampment | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Ally spell. {1}, {T}, Sacrifice this land: Return target Ally you control to its owner's hand.
Alpine Meadow | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped.
Amonkhet Raceway | [] | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {T}: Target creature gains haste until end of turn.
Ancient Amphitheater | [] | As this land enters, you may reveal a Giant card from your hand. If you don't, this land enters tapped. {T}: Add {R} or {W}.
Ancient Den | [] | {T}: Add {W}.
Ancient Spring | [] | This land enters tapped. {T}: Add {U}. {T}, Sacrifice this land: Add {W}{B}.
Ancient Tomb | [] | {T}: Add {C}{C}. This land deals 2 damage to you.
Ancient Ziggurat | [] | {T}: Add one mana of any color. Spend this mana only to cast a creature spell.
An-Havva Township | [] | {T}: Add {C}. {1}, {T}: Add {G}. {2}, {T}: Add {R} or {W}.
Animal Sanctuary | [] | {T}: Add {C}. {2}, {T}: Put a +1/+1 counter on target Bird, Cat, Dog, Goat, Ox, or Snake.
Arcane Lighthouse | [] | {T}: Add {C}. {1}, {T}: Until end of turn, creatures your opponents control lose hexproof and shroud and can't have hexproof or shroud.
Arcane Sanctum | [] | This land enters tapped. {T}: Add {W}, {U}, or {B}.
Archaeological Dig | [] | {T}: Add {C}. {T}, Sacrifice this land: Add one mana of any color.
Arch of Orazca | [] | Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) {T}: Add {C}. {5}, {T}: Draw a card. Activate only if you have the city's blessing.
Archway Commons | [] | This land enters tapped. When this land enters, sacrifice it unless you pay {1}. {T}: Add one mana of any color.
Archway of Innovation | [] | This land enters tapped unless you control an Island. {T}: Add {U}. {U}, {T}: The next spell you cast this turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Arctic Flats | [] | This land enters tapped. {T}: Add {G} or {W}.
Arctic Treeline | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped.
Arena | [] | {3}, {T}: Tap target creature you control and target creature of an opponent's choice they control. Those creatures fight each other. (Each deals damage equal to its power to the other.)
Arena of Glory | [] | This land enters tapped unless you control a Mountain. {T}: Add {R}. {R}, {T}, Exert this land: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of turn. (An exerted permanent won't untap during your next untap step.)
Argoth, Sanctum of Nature | [] | This land enters tapped unless you control a legendary green creature. {T}: Add {G}. {2}{G}{G}, {T}: Create a 2/2 green Bear creature token, then mill three cards. Activate only as a sorcery. (Melds with Titania, Voice of Gaea.)
Arid Archway | ['Desert'] | This land enters tapped. When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}{C}.
Arid Mesa | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.
Ash Barrens | [] | {T}: Add {C}. Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
Auntie's Hovel | [] | As this land enters, you may reveal a Goblin card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {R}.
Avishkar Raceway | [] | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {3}, {T}, Discard a card: Draw a card.
Axgard Armory | [] | This land enters tapped. {T}: Add {W}. {1}{R}{R}{W}, {T}, Sacrifice this land: Search your library for an Aura card and/or an Equipment card, reveal them, put them into your hand, then shuffle.
Aysen Abbey | [] | {T}: Add {C}. {1}, {T}: Add {W}. {2}, {T}: Add {G} or {U}.
Azorius Chancery | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {W}{U}.
Azorius Guildgate | ['Gate'] | This land enters tapped. {T}: Add {W} or {U}.
Badlands | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.)
Bad River | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.
Balamb Garden, SeeD Academy // Balamb Garden, Airborne | {'Vehicle', 'Town'} | This land enters tapped. {T}: Add {G} or {U}. {5}{G}{U}, {T}: Transform this land. This ability costs {1} less to activate for each other Town you control. // Flying Whenever Balamb Garden attacks, draw a card. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
Baldur's Gate | ['Gate'] | {T}: Add {C}. {2}, {T}: Add X mana of any one color, where X is the number of other Gates you control.
Balduvian Trading Post | [] | If this land would enter, sacrifice an untapped Mountain instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {C}{R}. {1}, {T}: This land deals 1 damage to target attacking creature.
Ballroom | [] | This land enters tapped. {T}: Add {W} or {B}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Bant Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle.
Barad-dûr | [] | Barad-dûr enters tapped unless you control a legendary creature. {T}: Add {B}. {X}{X}{B}, {T}: Amass Orcs X. Activate only if a creature died this turn.
Barbarian Ring | [] | {T}: Add {R}. This land deals 1 damage to you. Threshold — {R}, {T}, Sacrifice this land: It deals 2 damage to any target. Activate only if seven or more cards are in your graveyard.
Barkchannel Pathway // Tidechannel Pathway | set() | {T}: Add {G}. // {T}: Add {U}.
Baron, Airship Kingdom | ['Town'] | This land enters tapped. {T}: Add {U} or {R}.
Barren Moor | [] | This land enters tapped. {T}: Add {B}. Cycling {B} ({B}, Discard this card: Draw a card.)
Base Camp | [] | This land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Cleric, Rogue, Warrior, or Wizard spell or to activate an ability of a Cleric, Rogue, Warrior, or Wizard.
Basilisk Gate | ['Gate'] | {T}: Add {C}. {2}, {T}: Target creature gets +X/+X until end of turn, where X is the number of Gates you control. Activate only as a sorcery.
Battlefield Forge | [] | {T}: Add {C}. {T}: Add {R} or {W}. This land deals 1 damage to you.
Bayou | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.)
Bazaar of Baghdad | [] | {T}: Draw two cards, then discard three cards.
Billiard Room | [] | This land enters tapped. {T}: Add {B} or {R}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Blackcleave Cliffs | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {B} or {R}.
Black Dragon Gate | ['Gate'] | This land enters tapped. As this land enters, choose a color other than black. {T}: Add {B} or one mana of the chosen color.
Blasted Landscape | [] | {T}: Add {C}. Cycling {2} ({2}, Discard this card: Draw a card.)
